        BP2000 Sound Speeds 

       R/R_sun    Sound speed
                     (km/s)

     6.50453E-03    505.491
     6.60515E-03    505.495
     6.70734E-03    505.499
     6.81112E-03    505.503
     6.91652E-03    505.507
     7.02356E-03    505.511
     7.13227E-03    505.515
     7.24267E-03    505.520
     7.35479E-03    505.525
     7.46865E-03    505.530
     7.58429E-03    505.535
     7.70173E-03    505.540
     7.82101E-03    505.545
     7.94214E-03    505.550
     8.06515E-03    505.556
     8.19009E-03    505.562
     8.31697E-03    505.568
     8.44583E-03    505.574
     8.57671E-03    505.580
     8.70962E-03    505.587
     8.84460E-03    505.594
     8.98169E-03    505.601
     9.12092E-03    505.608
     9.26232E-03    505.615
     9.40593E-03    505.623
     9.55179E-03    505.631
     9.69992E-03    505.639
     9.85036E-03    505.647
     1.00032E-02    505.656
     1.01583E-02    505.664
     1.03159E-02    505.674
     1.04760E-02    505.683
     1.06386E-02    505.693
     1.08037E-02    505.703
     1.09714E-02    505.713
     1.11417E-02    505.723
     1.13147E-02    505.734
     1.14904E-02    505.746
     1.16689E-02    505.757
     1.18502E-02    505.769
     1.20343E-02    505.781
     1.22212E-02    505.794
     1.24112E-02    505.807
     1.26041E-02    505.820
     1.28000E-02    505.834
     1.29990E-02    505.848
     1.32012E-02    505.863
     1.34065E-02    505.878
     1.36150E-02    505.893
     1.38268E-02    505.909
     1.40420E-02    505.926
     1.42606E-02    505.943
     1.44826E-02    505.960
     1.47081E-02    505.978
     1.49372E-02    505.996
     1.51699E-02    506.015
     1.54062E-02    506.035
     1.56463E-02    506.055
     1.58902E-02    506.076
     1.61380E-02    506.097
     1.63897E-02    506.119
     1.66454E-02    506.141
     1.69052E-02    506.165
     1.71690E-02    506.188
     1.74371E-02    506.213
     1.77094E-02    506.238
     1.79861E-02    506.264
     1.82672E-02    506.290
     1.85528E-02    506.318
     1.88429E-02    506.346
     1.91377E-02    506.375
     1.94371E-02    506.405
     1.97414E-02    506.435
     2.00505E-02    506.467
     2.03647E-02    506.499
     2.06838E-02    506.532
     2.10081E-02    506.566
     2.13376E-02    506.601
     2.16725E-02    506.637
     2.20127E-02    506.673
     2.23584E-02    506.711
     2.27097E-02    506.750
     2.30667E-02    506.790
     2.34296E-02    506.831
     2.37983E-02    506.872
     2.41730E-02    506.915
     2.45538E-02    506.959
     2.49408E-02    507.005
     2.53341E-02    507.051
     2.57339E-02    507.098
     2.61403E-02    507.147
     2.65533E-02    507.197
     2.69731E-02    507.248
     2.73999E-02    507.300
     2.78337E-02    507.353
     2.82746E-02    507.408
     2.87229E-02    507.464
     2.91787E-02    507.521
     2.96420E-02    507.579
     3.01130E-02    507.639
     3.05920E-02    507.700
     3.10789E-02    507.762
     3.15741E-02    507.826
     3.20775E-02    507.891
     3.25895E-02    507.957
     3.31101E-02    508.025
     3.36396E-02    508.094
     3.41780E-02    508.164
     3.47257E-02    508.235
     3.52827E-02    508.308
     3.58493E-02    508.382
     3.64256E-02    508.457
     3.70118E-02    508.533
     3.76082E-02    508.611
     3.82150E-02    508.689
     3.88323E-02    508.769
     3.94603E-02    508.850
     4.00994E-02    508.931
     4.07498E-02    509.014
     4.14115E-02    509.098
     4.20851E-02    509.182
     4.27705E-02    509.267
     4.34683E-02    509.353
     4.41785E-02    509.439
     4.49015E-02    509.526
     4.56375E-02    509.613
     4.63869E-02    509.700
     4.71499E-02    509.787
     4.79268E-02    509.874
     4.87180E-02    509.960
     4.95238E-02    510.047
     5.03446E-02    510.132
     5.11806E-02    510.216
     5.20322E-02    510.300
     5.28999E-02    510.382
     5.37839E-02    510.462
     5.46847E-02    510.541
     5.55744E-02    510.615
     5.64479E-02    510.684
     5.73064E-02    510.748
     5.81509E-02    510.808
     5.89823E-02    510.863
     5.98015E-02    510.914
     6.06092E-02    510.960
     6.14060E-02    511.003
     6.21927E-02    511.041
     6.29698E-02    511.076
     6.37378E-02    511.106
     6.44974E-02    511.133
     6.52489E-02    511.156
     6.59928E-02    511.175
     6.67295E-02    511.191
     6.74593E-02    511.203
     6.81827E-02    511.212
     6.89000E-02    511.217
     6.96115E-02    511.219
     7.03175E-02    511.218
     7.10183E-02    511.213
     7.17141E-02    511.205
     7.24052E-02    511.194
     7.30919E-02    511.179
     7.37744E-02    511.161
     7.44529E-02    511.140
     7.51276E-02    511.116
     7.57987E-02    511.089
     7.64664E-02    511.058
     7.71308E-02    511.025
     7.77923E-02    510.988
     7.84509E-02    510.949
     7.91067E-02    510.906
     7.97601E-02    510.860
     8.04110E-02    510.811
     8.10596E-02    510.759
     8.17062E-02    510.704
     8.23508E-02    510.647
     8.29935E-02    510.586
     8.36345E-02    510.522
     8.42739E-02    510.454
     8.49119E-02    510.384
     8.55485E-02    510.311
     8.61839E-02    510.235
     8.68182E-02    510.156
     8.74515E-02    510.073
     8.80838E-02    509.988
     8.87154E-02    509.899
     8.93463E-02    509.807
     8.99766E-02    509.712
     9.06064E-02    509.614
     9.12358E-02    509.513
     9.18650E-02    509.409
     9.24939E-02    509.301
     9.31228E-02    509.191
     9.37516E-02    509.077
     9.43806E-02    508.960
     9.50097E-02    508.839
     9.56391E-02    508.716
     9.62689E-02    508.589
     9.68992E-02    508.459
     9.75300E-02    508.325
     9.81615E-02    508.188
     9.87937E-02    508.048
     9.94268E-02    507.904
     1.00061E-01    507.757
     1.00696E-01    507.606
     1.01332E-01    507.452
     1.01969E-01    507.294
     1.02608E-01    507.132
     1.03248E-01    506.967
     1.03889E-01    506.799
     1.04532E-01    506.626
    0.105177    506.450
    0.105823    506.270
    0.106472    506.086
    0.107122    505.899
    0.107775    505.707
    0.108429    505.512
    0.109086    505.312
    0.109745    505.108
    0.110407    504.900
    0.111071    504.688
    0.111738    504.472
    0.112408    504.251
    0.113081    504.026
    0.113757    503.796
    0.114436    503.562
    0.115118    503.323
    0.115804    503.080
    0.116493    502.832
    0.117186    502.579
    0.117883    502.321
    0.118584    502.058
    0.119288    501.790
    0.119998    501.517
    0.120711    501.238
    0.121429    500.954
    0.122152    500.665
    0.122880    500.370
    0.123613    500.069
    0.124351    499.762
    0.125094    499.449
    0.125843    499.131
    0.126598    498.805
    0.127359    498.474
    0.128126    498.136
    0.128900    497.791
    0.129680    497.440
    0.130468    497.081
    0.131262    496.715
    0.132064    496.341
    0.132873    495.960
    0.133691    495.571
    0.134517    495.174
    0.135351    494.768
    0.136194    494.355
    0.137047    493.932
    0.137909    493.500
    0.138781    493.059
    0.139663    492.609
    0.140556    492.148
    0.141460    491.678
    0.142376    491.197
    0.143304    490.705
    0.144244    490.203
    0.145197    489.688
    0.146163    489.162
    0.147144    488.624
    0.148139    488.073
